"node_id"	"level1_id"	"level1_name"	"level2_id"	"level2_name"	"level3_id"	"level3_name"	"level4_id"	"level4_name"	"level5_id"	"level5_name"	"full_path"
"124867"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"123081"	"CRITICAL TEST CASES"	"124864"	"PAYMENT & CHANNEL"	"124867"	"LOW VALUE TRXN"	"FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > LOW VALUE TRXN"
"124868"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"123081"	"CRITICAL TEST CASES"	"124864"	"PAYMENT & CHANNEL"	"124868"	"HIGH VALUE TRXN"	"FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > HIGH VALUE TRXN"
"124869"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"123081"	"CRITICAL TEST CASES"	"124864"	"PAYMENT & CHANNEL"	"124869"	"CLEARING TRXN"	"FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > CLEARING TRXN"
"124870"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"123081"	"CRITICAL TEST CASES"	"124864"	"PAYMENT & CHANNEL"	"124870"	"CROSS BOARDER (CB)"	"FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > CROSS BOARDER (CB)"
"124871"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"123081"	"CRITICAL TEST CASES"	"124864"	"PAYMENT & CHANNEL"	"124871"	"DIRECT DEBIT"	"FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > DIRECT DEBIT"
"124872"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"123081"	"CRITICAL TEST CASES"	"124864"	"PAYMENT & CHANNEL"	"124872"	"ATM"	"FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > PAYMENT & CHANNEL > ATM"
"125459"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"106607"	"COMPLIANCE CONTROL & LIMIT"	"125459"	"SI"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > COMPLIANCE CONTROL & LIMIT > SI"
"125460"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"106607"	"COMPLIANCE CONTROL & LIMIT"	"125460"	"CLEARING"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > COMPLIANCE CONTROL & LIMIT > CLEARING"
"125461"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"106607"	"COMPLIANCE CONTROL & LIMIT"	"125461"	"CHANNEL"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > COMPLIANCE CONTROL & LIMIT > CHANNEL"
"126154"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"123081"	"CRITICAL TEST CASES"	"126154"	"BRANCH & COPS MGT"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > BRANCH & COPS MGT"
"126155"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"N/A"	"N/A"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION"
"126156"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126156"	"LENDING"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > LENDING"
"126157"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126157"	"PAYMENT & TRXN"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > PAYMENT & TRXN"
"126158"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126158"	"TRADE AND TREASURY"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > TRADE AND TREASURY"
"126159"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126156"	"LENDING"	"126159"	"ELM"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > LENDING > ELM"
"126160"	"1"	"FUCTIONAL TESTING"	"141655"	"TBD"	"141656"	"LENDING"	"126160"	"RSME_1"	"N/A"	"N/A"	"FUCTIONAL TESTING > TBD > LENDING > RSME_1"
"126161"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126156"	"LENDING"	"126161"	"ENTERPRISE COLLECTION (EC)"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > LENDING > ENTERPRISE COLLECTION (EC)"
"126162"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126156"	"LENDING"	"126162"	"ENTERPRISE RECOVERY (ER)"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > LENDING > ENTERPRISE RECOVERY (ER)"
"126163"	"1"	"FUCTIONAL TESTING"	"141655"	"TBD"	"141656"	"LENDING"	"126163"	"LBL"	"N/A"	"N/A"	"FUCTIONAL TESTING > TBD > LENDING > LBL"
