"test_path","testcase_count","passed_count","failed_count","blocked_count","not_run_count","pass_rate","fail_rate","block_rate","pending_rate"
FUCTIONAL TESTING > CYCLE 3 > C2_RETEST & VERIFICATION > PAYMENT & TRXN > C2R_CROSS BORDER,33,0,21,12,0,0.00,100.00,36.36,0.00
FUCTIONAL TESTING > CYCLE 3 > C2_RETEST & VERIFICATION > PAYMENT & TRXN > C2R_DHV,22,0,22,0,0,0.00,100.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 3 > C2_RETEST & VERIFICATION > PAYMENT & TRXN > C2R_DIRECT DEBIT,1,0,1,0,0,0.00,100.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 3 > C2_RETEST & VERIFICATION > PAYMENT & TRXN > C2R_DLV,32,0,30,2,0,0.00,100.00,6.25,0.00
FUCTIONAL TESTING > CYCLE 3 > C2_RETEST & VERIFICATION > REPORTS & NOTIFICATIONS > C2R_RN_BRANCH & C,433,0,2,431,0,0.00,100.00,99.54,0.00
FUCTIONAL TESTING > CYCLE 3 > C2_RETEST & VERIFICATION > REPORTS & NOTIFICATIONS > CASA > C2R_RN_CAS,88,0,29,59,0,0.00,100.00,67.05,0.00
FUCTIONAL TESTING > CYCLE 3 > C2_RETEST & VERIFICATION > REPORTS & NOTIFICATIONS > CASA > C2R_RN_TD,16,0,6,10,0,0.00,100.00,62.50,0.00
FUCTIONAL TESTING > CYCLE 3 > C2_RETEST & VERIFICATION > TRADE AND TREASURY > C2R_OBSCF,27,3,24,0,0,11.11,88.89,0.00,0.00
FUCTIONAL TESTING > CYCLE 3 > C2_RETEST & VERIFICATION > TRADE AND TREASURY > C2R_OBTF,24,0,24,0,0,0.00,100.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 3 > C2_RETEST & VERIFICATION > TRADE AND TREASURY > C2R_TFPM,54,2,52,0,0,3.70,96.30,0.00,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > BRANCH & COPs MGT > CX_OBBRN,65,61,4,0,0,93.85,6.15,0.00,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > BRANCH & COPs MGT > CX_SI,27,8,0,19,0,100.00,0.00,70.37,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > CASA > CX_CASA,48,4,0,44,0,100.00,0.00,91.67,0.00
